ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,19554801715680.0,12.311422000000004,15.933020499999994,3.0886,0.9169898249999999,16.72367,14.971,12.919,,,0.321800034,0.46713000400000004,0.53382994,0.044999999999999984,0.04300000000000001,0.254,,8.463000000000001,9.963,,1493889056768.0,0.0,17505530675200.0,0.7,0.2996,550.0,0.5,275.0,1789603200.0,0.985,84170.0,51271.96903921346,80630.0,83256.25,1.6875,16.0,,,0.22763,0.37557,False,False,,0.5,841631.0,782650.0,0.6111993556902839,13.09,22.62,48.91,,-0.04205774028751341,0.3814215623228455,56.84253915910964,0.17789191968772644,0.3445857945324544,False,0.720115970251772,,0.75,Japan,True,True,,98.0050933786078,83.75742154368108,63.55620488603188,56.49215358344878,4.668930390492361,67.22129783693843,,50.0,,50.0,71.72265425234698,standard,19,410182952,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.2,-0.02435232140123844,9.3
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,USD,220770179870.1481,22.641437000000003,16.588457999999996,2.195,9.966773975,22.736607,21.465,30.236,0.1669499775,0.08023999999999999,0.274220004,0.28387497500000003,0.18330999999999997,0.21699999999999997,0.03900000000000001,0.257,,1.1160000000000003,2.176,3541979488.0,12353200128.0,0.0,208422797312.0,,0.0,,,,,1.673,179.8000030517578,85.58000183105469,175.3300018310547,188.19922,1.27586,27.0,1.82,0.02,0.1727,0.72815,False,False,,0.5,8967106.0,10111080.0,0.6718939643186517,1.52,40.71,34.17,,-0.02486096298572571,0.5284223268994988,78.01129875750165,0.16562623935118514,0.24783731474133597,True,1.0456279481004014,,0.941,US,True,True,53.6937123690855,88.68745467625037,86.49985863726322,74.46744607537815,34.78693178201798,26.99490662139219,11.896838602329451,69.26926926926927,50.0,79.69639468690703,50.0,71.60416350590084,standard,20,1772775675,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.4,-0.032044801861047745,5.1
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,15197428056720.0,14.719397999999998,17.0480425,2.9071,7.68477345,4.110356,3.953,13.055000000000001,0.17914750499999998,0.099675012,0.062569995,0.029670003999999972,0.29546999999999995,0.054000000000000006,0.5085,0.522,-28.677,0.2660000000000001,1.559,369835872256.0,725499969536.0,186199998464.0,14613833842688.0,0.24,0.0719,26.0,0.37,13.0,1790640000.0,0.86,11390.0,6028.418262645158,10920.0,10475.0,1.625,16.0,,,0.03449,0.53567004,False,False,,0.5,6526528.0,7264120.0,0.5926135863515966,49.53,59.35,41.94,,-0.041264266900790214,0.4764413111610765,89.09362549800797,0.3775872002362839,0.3673591606593707,True,0.8386558769429043,,0.943,Japan,True,True,64.39260155678066,80.7418365335157,86.93808312128924,77.97248511930293,43.04797075020084,5.34804753820034,67.22129783693843,77.27727727727728,50.0,,50.0,70.89001639629058,standard,24,515607238,False,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.2,0.029264524579048157,80.1
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,USD,253845356140.13672,-11.712651000000001,-0.1722140000000003,0.9642,2.9477269749999997,5.7061853,5.829,0.9960000000000022,0.2125699975,0.06357,0.114130014,0.07707499500000001,0.09592999999999996,-0.169,1.519,1.621,5.9069999999999965,0.6530000000000002,1.448,8769366880.0,9799000064.0,15269999616.0,259316367360.0,1.53,0.38279998,3.68,2.12,0.89,1780531200.0,1.493,259.9200134277344,121.98999786376953,240.83999633789062,177.09677,2.64103,31.0,1.88,0.053600002,0.0012800001,0.84575,False,False,,0.5,19522593.0,24305780.0,0.6377698864495678,36.06,75.48,44.94,,-0.07340726417417087,0.4591130340677667,60.33723708376224,0.4180271230397372,0.4854136833191298,True,0.7787493239962674,,0.87,US,True,True,87.26564250817981,80.44003515209039,84.02601074356801,66.61310551548354,48.47117620317694,25.551782682512737,67.22129783693843,85.88588588588588,50.0,40.22770398481973,50.0,70.83608199893978,standard,25,5853803966,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,2.1,0.09342912584543228,93.1
BESI.AS,BE Semiconductor Industries N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,EUR,22821756705.888184,118.26302799999999,27.939865999999995,2.2928,44.902348724999996,36.10666,35.735,91.56800000000001,0.17365499249999994,0.05245,0.17152,0.23200000000000004,0.25711,0.14899999999999997,0.42400000000000004,0.637,69.95400000000001,3.144,4.008,-409495824.0,611438016.0,519112992.0,22586851328.0,0.55,1.1414,1.58,2.74,1.58,1777248000.0,1.335,291.1000061035156,104.73968512608042,288.1000061035156,252.54546,2.08696,22.0,,,0.108909994,0.63437,False,False,,0.5,497526.0,395208.0,0.18278762649634098,13.43,59.87,123.44,155.21,-0.01030573664410439,0.49379590650870714,63.544294702343635,0.2183192879357192,0.7105691222446662,False,0.8576568866386398,,0.481,Europe,True,True,25.657168362392238,87.17923914399373,95.2445705036923,65.5386857908173,41.2464876585925,67.57215619694398,28.95174708818636,34.33433433433433,50.0,,50.0,70.8307373002096,standard,26,122968181,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,0.3,0.0664452314376831,89.6
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,USD,2280074192046.6255,55.89931300000001,3.1440219999999997,1.0007,22.152024975,33.392025,34.152,43.70399999999999,0.18544998750000002,0.04328,0.256769974,0.30591501499999996,0.31519995999999995,0.16099999999999998,0.10500000000000001,0.335,32.63199999999999,0.18900000000000006,1.671,24683492192.0,14174000128.0,66056998912.0,2331957264384.0,0.54,0.47169998,2.6,1.87,0.65,1774224000.0,1.44,488.82000732421875,239.172115345069,481.57000732421875,485.7178,1.31915,44.0,2.7,0.0115,0.01949,0.80284,False,False,,0.5,24215173.0,23594710.0,1.739776154115755,14.31,53.77,19.99,,-0.014831635144572308,0.43012479793354,73.53897721945151,0.22873752739511066,0.3641762720808708,True,1.269545097161738,,0.853,US,True,True,46.61921249607816,90.02947267781629,84.5349165959853,73.52539629761473,39.64841735690473,13.66723259762309,67.22129783693843,61.56156156156156,50.0,91.17647058823529,50.0,78.70359263606329,standard,4,11362504668,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.4,0.04232150316238403,84.2
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,USD,504503637120.0,5.057245000000002,4.005071999999998,1.7764,3.919369975,8.305134,8.574,11.673000000000002,0.10402999750000001,0.010020000000000001,0.087900004,0.106405005,0.19090996999999998,-0.014000000000000012,0.16,0.354,17.468999999999994,-0.7879999999999998,0.704,8468117344.0,16640000000.0,33001000960.0,520864628736.0,1.31,0.55,1.68,2.79,0.42,1783296000.0,0.912,128.22000122070312,62.286334164384456,128.0,125.40818,1.88462,22.0,2.53,0.015,0.00054000004,0.82842004,False,False,,0.5,23542650.0,26506100.0,0.8973151742427248,39.36,62.99,68.16,,-0.0017158104711326727,0.2994667305560493,82.6324170023641,0.3481059068200518,0.6237408140177783,True,0.8637323167675244,,0.85,US,True,True,58.786136883151805,74.97544499629637,94.84026010743567,64.38123964335749,44.45056423319129,20.458404074702884,67.22129783693843,68.46846846846847,50.0,85.95825426944972,50.0,70.35951748375089,standard,29,3392780800,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.6,-0.04852871596813202,1.8
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,3826853675.8615723,-8.693193999999998,-5.279560750000001,,0.27220895,6.410591,5.149,-3.2729999999999997,0.12107501500000004,0.10173499999999999,0.24781999700000007,0.2955524975,0.38830005,-0.022,0.0040000000000000036,0.123,-58.719500000000004,5.074249999999999,6.701,-648448080.0,755859008.0,2681000.0,3073675520.0,,0.0,,,,,0.718,32.560001373291016,19.049999237060547,31.270000457763672,32.6,2.66667,5.0,2.28,0.07,0.05573,0.89406997,False,False,,0.5,2070236.0,2277720.0,0.48786472841621187,8.8,30.73,33.58,,-0.039619191066298076,0.3372785318203893,65.85364719017491,0.11666608662235212,0.3152554253648703,False,0.6343352686578398,,1.0,US,True,True,,91.72372161353263,83.26265196494204,59.36371168615591,66.38075683966129,91.34125636672326,11.896838602329451,5.505505505505505,50.0,30.55028462998102,50.0,70.09212612381525,standard,30,71224305,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,0.2,-0.032393161207437515,4.9
6674.T,GS Yuasa Corporation,Consumer Cyclical,Auto Parts,Japan,JPY,751894525085.0,2.6149859999999983,5.659298249999997,2.3,0.06952700000000012,1.2346481,1.319,-2.5105000000000004,0.00895501,0.0019500009999999998,0.03922999949999999,0.0891725115,-0.04176000000000002,0.07799999999999999,0.531,0.646,-19.416499999999996,0.00550000000000006,0.845,-34267750144.0,36747001856.0,102348996608.0,803327967232.0,1.43,0.2709,98.0,2.2,68.0,1790640000.0,0.697,7542.0,2416.4245759413525,7495.0,6605.5557,1.55556,9.0,,,0.08139,0.45174,False,False,,0.5,1186983.0,815340.0,1.7022804644872453,18.65,36.31,92.22,,-0.006231768761601697,0.3834765057290642,72.15097105166728,0.21608117331691123,0.692038831994449,True,1.316948121025624,,0.783,Japan,True,True,,58.992323891734785,93.32767882386203,75.63885906814824,47.541986704077914,18.08149405772496,67.22129783693843,24.124124124124123,50.0,,50.0,70.04356251282528,standard,31,39721326,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,1.5,-0.017585353925824165,14.0
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,20064178889820.0,22.22018200000001,89.1056005,2.0344,20.503429824999998,17.777779,16.636,20.142999999999997,0.46974499749999993,0.25847000099999995,0.27365000399999995,0.397840004,0.34699995999999994,0.27799999999999997,1.993,2.171,-10.513499999999997,0.4560000000000002,1.722,208881881088.0,339966001152.0,20192000000.0,18775801856000.0,0.23,0.1149,60.0,0.82,30.0,1774828800.0,1.199,32400.0,7138.927068884628,27660.0,32795.0,1.75,20.0,,,0.00279,0.66172,False,False,,0.5,9835703.0,8475320.0,1.0155559911899352,-2.12,3.16,51.23,,-0.14629629629629626,0.6636908442680848,46.009193480986205,0.06396230892604882,0.3225795104520821,False,0.5818596212937603,,1.0,Japan,True,True,51.279693872977454,95.43958060634381,64.32004523607577,93.34012604194594,33.10578989821712,4.584040747028863,67.22129783693843,62.46246246246246,50.0,,50.0,69.9433798690936,standard,32,1523777783,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,4.6,-0.035300981253385544,3.8
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,948946638965.9304,10.967478999999997,8.67711525,1.4507,26.97584325,13.134391,13.662,13.931999999999999,0.950705005,0.14644501000000001,0.226929997,0.29920249750000005,0.37625999999999993,0.47700000000000004,1.592,1.681,80.03049999999999,-0.53175,0.721,8336341856.0,5281999872.0,43370000384.0,987034615808.0,0.65,0.22129999,6.92,0.89,1.73,1778803200.0,0.481,1149.0999755859375,619.3983893784804,1064.1500244140625,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85323995,False,False,,0.5,3091704.0,3283510.0,0.7589158255212893,10.66,5.78,-0.72,,-0.07392738053845849,0.3801386010486337,64.6846064268701,0.10884140484161109,0.13375060966450403,True,0.6882827943783447,,1.0,US,True,True,49.819315584240954,95.12972221633294,57.37913486005089,93.45916328769736,40.075915445883545,17.31748726655348,67.22129783693843,57.65765765765766,50.0,94.40227703984819,50.0,77.87587827130302,standard,7,3494147247,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,0.5,0.009303699247539043,44.5
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,USD,389079808979.6124,8.491236999999998,7.491021,1.663,9.870781975000002,13.405451,13.372,22.891000000000002,0.2486600275,0.08522999999999999,0.18419000400000002,0.17544499500000002,0.03749999999999998,-0.020000000000000004,0.12400000000000003,0.313,-19.673000000000002,0.7950000000000002,1.624,2220117088.0,8240999936.0,7267999744.0,388106813440.0,0.43,0.1731,2.12,0.79,0.53,1779321600.0,1.654,491.510009765625,153.7846009301305,490.04998779296875,511.16666,1.5,36.0,2.59,0.0231,0.00306,0.85146004,False,False,,0.5,6768961.0,7023910.0,1.2945679819757994,26.11,39.66,94.76,,-0.0029704826832569475,0.461932830649589,71.22697903503934,0.2204907195134178,0.6627440995268536,True,1.182178886324751,,0.906,US,True,True,44.28807538882165,83.80683176713231,94.86853265479219,63.77364183436656,35.35476922606499,22.24108658743633,67.22129783693843,53.753753753753756,50.0,74.38330170777988,50.0,69.67348653496595,standard,34,3442067010,False,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.2,-0.03078385815024376,5.9
5802.T,"Sumitomo Electric Industries, Ltd.",Consumer Cyclical,Auto Parts,Japan,JPY,10891581054375.0,8.188873999999998,42.386583249999994,0.53,2.1344254,2.1313534,2.079,5.206500000000002,0.04471501,0.005930001000000004,0.04279999949999999,0.06641250750000001,-0.09401000000000001,0.08099999999999999,1.286,1.401,-20.574499999999997,0.09949999999999992,0.876,127293132800.0,236981993472.0,620541968384.0,10625782644736.0,0.3,0.325,39.0,2.83,20.0,1790640000.0,0.856,14850.0,2725.0047584030117,13965.0,13228.0,1.8,10.0,,,0.04488,0.46407002,False,False,,0.5,7996291.0,6588050.0,0.8617943771226463,37.05,36.1,147.8,,-0.05959595959595965,0.6045397484840037,63.4393063583815,0.31353677847958794,0.930997914947141,True,1.0816058623975298,,1.0,Japan,True,True,62.195161579489934,59.848505130486295,87.36217133163699,87.34025329383249,37.50227171834299,6.36672325976231,67.22129783693843,63.66366366366366,50.0,,50.0,69.17107507835235,standard,35,598013769,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.6,0.03372843563556671,82.1
