ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w
6506.T,YASKAWA Electric Corporation,Industrials,Electrical Equipment & Parts,Japan,JPY,1808313410148.0,26.627899999999993,10.667972500000001,2.1589,1.2454014000000004,3.362413,3.472,13.783000000000001,-0.03255750499999999,-0.0037050009999999994,0.010410000000000003,0.026865009999999995,0.056400019999999995,-0.045,-0.223,-0.157,-13.489999999999998,0.6885,1.178,-39930875904.0,61222998016.0,124851003392.0,1882013958144.0,743774000000.0,,537682000000.0,,,50157000000.0,,56987000000.0,56505000000.0,1.03,0.5011,72.0,1.28,36.0,1787875200.0,1.275,7915.0,2774.5625336923517,6972.0,6858.8237,1.88235,17.0,,,0.016970001,0.62156,False,False,,0.5,5245067.0,5084360.0,1.2006925310666954,15.89,49.65,41.34,,-0.11914087176247634,0.5880233026961716,40.81248318536454,0.026822270791236447,0.37386021323361596,False,0.4159461251310969,,0.389,Japan,True,True,32.535100313598065,50.63775532420642,81.45620022753128,21.885458065652987,34.843304785063104,14.837049742710121,67.15358931552588,32.8643216080402,50.0,,50.0,41.41964612726486,standard,742,219259726,False,38.3,False,28.17195325542571,14.440734557595993,43.65609348914858,50.04173622704508,50.04173622704508,50.04173622704508,1,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,-5.7
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,United States,USD,76645525347.40283,-15.139963000000002,-2.487046499999998,3.9643,0.15328819999999999,1.7842772,2.175,-4.379499999999998,0.13245247500000001,0.018795001000000006,0.0038049969999999905,-0.01981999000000001,-0.24688001,-0.021000000000000005,0.7829999999999999,0.819,26.808000000000003,-0.23250000000000004,0.979,1230367776.0,2090000000.0,17574000640.0,92129525760.0,51377000000.0,,41954000000.0,,,4280000000.0,,4182000000.0,4757000000.0,1.77,0.2897,9.4,1.54,2.47,1780272000.0,-0.102,770.6083982498394,493.8399963378906,539.6300048828125,687.1419,1.95652,21.0,2.13,0.0166,0.00244,0.84347,False,False,,0.5,948772.0,1095990.0,0.4303847679492265,-1.65,-21.51,-5.77,,-0.2997351104550787,0.2737515674508639,57.65560326386705,-0.004454804801854451,-0.11263313002668085,True,0.625106597270786,,0.979,US,True,True,,53.165935632070855,19.638794084186575,74.62176670193958,66.16030482002003,44.682675814751285,67.15358931552588,64.52261306532662,50.0,84.74088291746641,50.0,49.411939813179046,standard,476,591429089,False,57.2,False,72.70450751252086,43.489148580968276,66.7779632721202,50.04173622704508,50.04173622704508,50.04173622704508,4,NEUTRAL,0,NEDTREND,True,3,0.42857142857142855,LÅG,EJ AKTUELL,-0.3
AQ.ST,AQ Group AB (publ),Industrials,Electrical Equipment & Parts,Sweden,SEK,18988687530.0,0.5074679999999994,-6.429365499999998,,0.3982195000000006,2.0777643,,,-0.0053124949999999865,0.02408500100000001,0.007209999999999994,-0.03557499,0.08606999999999998,-0.196,-0.069,-0.003,,1.1064999999999996,1.746,-264124992.0,,,,6909000000.0,,9071000000.0,,,851000000.0,,676000000.0,921000000.0,0.86,0.21280001,1.8,1.47,1.8,1776988800.0,0.715,244.8000030517578,164.70940461029144,207.0,212.0,,3.0,,,0.39154,0.46919,False,False,,0.5,104465.0,91070.0,0.38765564921522855,-8.65,4.37,9.69,,-0.15441177524726502,0.3201030819188272,25.000007568842406,-0.08486445284876043,0.046260072699437105,False,0.09666007509325746,,0.342,Nordic,True,True,,55.24732483345527,53.51251422070535,22.753677685370068,62.80729473670937,70.84048027444254,67.15358931552588,,50.0,,50.0,41.41176539430293,standard,744,1953563,False,49.6,False,28.17195325542571,71.61936560934892,61.686143572621035,50.04173622704508,50.04173622704508,50.04173622704508,2,SVAG,-8,VARNING,False,2,0.2857142857142857,LÅG,EJ AKTUELL,-3.2
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,United States,USD,11242830035.695496,,2.41235,0.1222,0.02931600000000012,2.7941043,3.517,2.09,-0.186815,-0.018620000000000005,-0.170384997,-0.028035019999999994,-0.10749000000000003,-0.07250000000000001,,,44.05775,-0.667,0.816,-331233440.0,191830000.0,3064531968.0,14163251200.0,7135422000.0,,4015382000.0,,,401136000.0,,-144338000.0,737646000.0,,0.0,,,,,1.399,237.86000061035156,144.25999450683594,233.41000366210938,220.66667,1.70588,15.0,5.13,0.1043,0.00636,1.23365,False,False,,0.571,874431.0,989820.0,0.9927183224288175,22.94,32.96,7.68,,-0.018708471104109337,0.4621022826054364,84.27985675190212,0.25345439206059384,0.28008328992812714,True,0.7924635232957629,,0.943,US,True,True,45.957248649261345,22.435395393918526,78.95335608646188,54.63104807572091,24.711058341498124,79.58833619210978,12.186978297161936,32.06030150753769,50.0,21.30518234165067,57.099999999999994,41.324349850693466,standard,746,231033890,False,49.5,False,28.17195325542571,80.13355592654425,52.75459098497496,50.04173622704508,50.04173622704508,50.04173622704508,2,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,USD,8369394554.316284,5.415308,-0.5894010000000005,,0.10900785000000013,5.660568,5.346,-3.146000000000001,0.0,0.030659997,0.08654999,0.33953,0.14527999999999996,0.854,50.266999999999996,55.605,-46.733000000000004,0.9090000000000003,2.506,-193061536.0,1140796032.0,314040992.0,7964744192.0,4694915000.0,,1265157000.0,,,349931000.0,,164923000.0,526010000.0,0.21,0.038599998,0.04,0.26,0.017,1779235200.0,2.111,32.011027862003594,7.7310114785584405,16.950000762939453,26.875,2.0,2.0,1.42,,0.01089,0.54927,False,False,,0.5,12692386.0,10586240.0,0.710171412709061,2.48,-17.6,-5.41,,-0.4704949545509989,0.7463367483514212,42.95302417212736,-0.10655486334700448,-0.0863188887401789,True,0.4135645575647361,,0.322,US,True,True,,74.15538641095311,16.609783845278724,76.7530931973768,29.02449287123972,83.53344768439108,67.15358931552588,31.35678391959799,50.0,,50.0,49.24887446115866,commodity,481,179436776,False,46.1,False,28.17195325542571,83.97328881469114,26.04340567612688,50.04173622704508,50.04173622704508,50.04173622704508,4,NEUTRAL,0,NEDTREND,True,3,0.42857142857142855,LÅG,EJ AKTUELL,-1.8
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,United States,USD,83968057756.87476,-13.698240000000002,-6.1196094999999975,1.7476,1.6209179000000007,1.0824666,1.342,-6.974499999999999,0.180862495,0.017115001000000005,-0.04477499700000001,-0.07340999000000001,-0.22756,-0.081,-0.338,-0.272,105.63400000000001,-0.17149999999999987,1.093,3784242976.0,5801999872.0,28661999616.0,118488203264.0,73090000000.0,,88661000000.0,,,7867000000.0,,5572000000.0,8450000000.0,5.92,1.0615001,6.56,4.34,1.64,1779062400.0,1.03,118.72508048391231,78.17259714020712,112.47000122070312,114.65385,2.14286,26.0,4.26,0.031,0.00017000001,0.70794,False,False,,0.697,5629193.0,4395920.0,0.6912852669662702,4.26,12.52,10.01,,-0.05268540764692742,0.3005846997896414,69.64378556708827,0.07355287115430165,0.1365561913293547,True,0.9485500614763338,,0.823,US,True,True,,45.8453538448219,68.50113765642776,29.4472566720397,38.94335570033867,42.7958833619211,29.29883138564274,83.31658291457286,50.0,64.20345489443378,69.69999999999999,41.2140256788264,standard,752,494409128,False,62.7,False,88.14691151919867,41.652754590984976,79.46577629382304,50.04173622704508,50.04173622704508,50.04173622704508,3,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,1.4
SVS.L,Savills plc,Real Estate,Real Estate Services,United Kingdom,GBp,1606721726880.3271,-5.943042999999999,-9.4481555,,0.36737222999999997,0.4904659,0.535,-4.702,0.024935000000000013,0.0050000000000000044,-0.21416750149999997,-0.35171001,0.605545,0.0040000000000000036,0.174,0.362,-31.784499999999998,0.7709999999999999,1.12,-513974984.0,531600000.0,619299968.0,1364432000.0,2351200000.0,,2550900000.0,,,89900000.0,,70900000.0,172300000.0,2.56,0.44419998,0.23,2.06,0.264,1775692800.0,1.252,13907.664950220751,9926.991056858253,11596.480102539062,1246.6,1.2,5.0,,,0.0744,0.77277,False,False,,0.5,693898.0,716423.0,0.6130397888416226,6.02,13.52,-9.42,-5.02,-0.16618065332707088,0.2555945532077202,70.11516851985517,0.08191395489838338,-0.011491914253013324,True,0.8211267705478014,,0.5,UK,True,True,,45.59553769208229,44.647665716880105,55.85117455394558,56.48649468961599,15.3516295025729,67.15358931552588,1.0552763819095476,50.0,,50.0,49.200226713408426,standard,482,8307985065,False,45.7,False,28.17195325542571,14.941569282136896,92.90484140233723,50.04173622704508,50.04173622704508,50.04173622704508,5,NEUTRAL,0,NEDTREND,True,1,0.14285714285714285,LÅG,EJ AKTUELL,4.7
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,39888217613.31372,50.25456500000001,5.667923999999999,0.5673,33.434298000000005,9.344724,9.296,35.553,0.7754450399999999,0.03936,0.0009650129999999868,0.042885000000000006,0.35621004,0.8795,,,217.70974999999996,1.0989999999999998,2.885,-636543056.0,3009222912.0,2970230016.0,39849222144.0,4966331000.0,,3713937000.0,,,501578000.0,,313747000.0,524080000.0,,0.0,,,,,0.269,495.54998779296875,273.1099853515625,298.760009765625,438.75,1.75,24.0,4.56,0.0579,0.00184,1.02017,False,False,,0.5,1210745.0,1619600.0,1.6437513357382019,0.36,-7.01,-29.29,,-0.39711428286738015,0.37510390506935104,63.683313757314735,0.007930959371998503,-0.1778516107762007,True,0.537418760285457,,0.67,US,True,True,29.42921373786224,77.38620456520091,15.386803185437998,75.45452038272303,54.409903471907796,57.54716981132076,12.186978297161936,36.08040201005025,50.0,38.963531669865645,50.0,41.18143865272588,standard,754,483871712,False,40.3,False,28.17195325542571,58.68113522537563,13.18864774624374,50.04173622704508,50.04173622704508,50.04173622704508,2,SVAG,-8,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,-6.4
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,Asset Management,United States,CAD,105705848388.05946,12.10730825,8.1117655,1.2089,7.6535114,20.833122,21.919,26.610750000000003,0.103865006,0.10490999985,0.26821499000000004,0.27962502999999994,0.32187,0.1755,-0.07700000000000001,0.062,-23.525499999999997,-0.5349999999999999,1.017,2178575040.0,1096000000.0,2963000064.0,111217262592.0,17047000000.0,,4608000000.0,,,3034000000.0,,2485000000.0,2101000000.0,4.37,1.1635,2.85,,0.692,1780012800.0,1.259,84.9810278461141,57.49526220527826,66.19999694824219,80.78093,2.23529,5.0,4.79,0.0248,0.03568,0.89595,False,False,,0.5,1890511.0,1280930.0,0.655094127189295,3.75,7.65,-10.0,,-0.22100263286861044,0.2912760475906674,49.11876129062433,0.009657524350100921,-0.02832518411703655,True,0.5900569720110991,,0.707,Canada,True,True,55.841784108512485,90.29872202140544,41.06939704209329,57.05912054767383,33.19874684525773,38.336192109777016,29.29883138564274,71.95979899497488,50.0,73.8003838771593,50.0,57.17316061253509,holding,214,59914900,False,47.6,False,76.21035058430718,37.31218697829716,2.5459098497495827,50.04173622704508,50.04173622704508,50.04173622704508,7,STARK,8,NEDTREND,True,1,0.14285714285714285,LÅG,EJ AKTUELL,8.8
COL.AX,Coles Group Limited,Consumer Defensive,Grocery Stores,Australia,AUD,31644459223.844,5.670398999999996,1.182759500000003,,4.385054325,0.69965625,0.92,1.426499999999998,0.07990501999999998,-0.0059599990000000075,-0.17797500500000002,-0.24297250199999998,-0.10797499999999999,-0.010999999999999996,-0.178,-0.113,207.3555,-0.6080000000000002,0.17,0.0,598000000.0,10572000256.0,41473720320.0,20294000000.0,,44352000000.0,,,1819000000.0,,1079000000.0,,3.1,0.90910006,0.73,3.57,0.41,1773100800.0,0.283,24.59000015258789,19.45711390223576,23.559999465942383,23.3345,2.13333,15.0,,,0.00564,0.41208,False,False,,0.5,3089957.0,2832930.0,0.43065578312101144,-2.24,3.51,14.25,19.07,-0.04188697357682236,0.21339098824921432,47.826070315420424,0.04521576371183489,0.07564447072062253,False,0.4586490943358286,,0.5,Australia,True,True,58.98341330713719,32.727202171280325,64.48691956038451,30.95417842569705,50.5382142258954,60.97770154373928,67.15358931552588,47.688442211055275,50.0,,50.0,41.16044560581832,standard,755,46420800,False,52.0,False,28.17195325542571,62.02003338898163,87.81302170283807,50.04173622704508,50.04173622704508,50.04173622704508,1,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,-10.1
