ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
BEGR.ST,BE Group AB (publ),26.9,-0.0037037037037037563,0.0189393942130609,6921,523872288.0,-13.316,0.53786016,71.253,1.664,48000000.0,694000000.0,42875000.0,25000000.0,50.013,0.1075,0.00196,-0.075,,-0.3374384081399253,-0.009208103260133105,,6,0.53608,0,0,0,N/A,55.27272727272727,83.63636363636363,70.0,33.45454545454545,37.18181818181819,92.72727272727272,30.909090909090907,3.6363636363636362,56.73272727272727,3.0,0.0,59.73272727272727,22,★★★,NEUTRAL,0,Tjänster & Konsult
SINT.ST,SinterCast AB (publ),102.0,0.0049261083743842365,-0.019230769230769273,4890,718315520.0,25.704,9.4392,,4.276,10500000.0,0.0,16712500.0,28600000.0,10.806,0.70444,0.252,-0.077,-0.329,0.04870431205700454,-0.005016688556877424,,7,0.48555002,0,0,0,N/A,52.36363636363635,61.81818181818181,85.0,15.454545454545453,46.5,10.909090909090908,61.81818181818181,43.63636363636363,48.709999999999994,11.0,0.0,59.709999999999994,23,★★★,NEUTRAL,0,Industri & Verkstad
ACTI.ST,Active Biotech AB (publ),0.075,0.05932203389830502,0.002673842067213439,32961435,197705040.0,-2.355,3.5714288,3.12,4.67,65099000.0,1735000.0,-7028000.0,-32399000.0,0.021,0.0,0.0,,,-0.13793097542147592,0.22281286328778416,,4,0.39591998,0,0,0,N/A,45.090909090909086,22.727272727272727,40.0,47.63636363636364,85.45454545454545,65.45454545454545,56.36363636363636,83.63636363636363,51.309090909090905,8.0,0.0,59.309090909090905,24,★★★,NEUTRAL,0,MedTech & Life Science
NAXS.ST,NAXS AB (publ),37.0,0.00543478260869573,0.03351957509812453,5103,404433536.0,,0.7692628,,57.134,61672000.0,0.0,-78538248.0,-20328000.0,48.098,0.0,1.50849,,,-0.019719654759747463,0.08726926855898265,,5,0.56775004,0,0,0,N/A,57.454545454545446,22.727272727272727,55.0,47.63636363636364,54.68181818181819,87.27272727272727,60.0,3.6363636363636362,51.03727272727272,8.0,0.0,59.03727272727272,25,★★★,NEUTRAL,0,Investmentbolag & Förvärvsbyggare
HARVIA.HE,Harvia Oyj,40.0,0.01651842439644215,0.015228387078284777,40608,747490432.0,17.191,5.3361793,72.83,3.814,53449000.0,102811000.0,13699875.0,36384000.0,7.496,0.63401,0.21995,0.127,0.117,0.02181626687653071,-0.005121851642872155,,7,0.15758,0,0,0,N/A,32.72727272727273,56.36363636363636,85.0,80.72727272727273,54.18181818181819,16.363636363636363,58.18181818181818,78.18181818181819,55.76454545454545,3.0,0.0,68.76454545454544,26,★★★,STARK UPPTREND,10,Övrigt
ASTOR.ST,Scandinavian Astor Group AB (publ),11.08,-0.12341772151898737,0.027285147235780016,439744,689649472.0,18.205,0.89434177,24.583,2.181,248674000.0,189568992.0,-93461504.0,65888000.0,12.389,0.68677,0.08015,0.741,6.666,-0.19032256410554405,-0.2363083093017937,,7,0.0,0,0,0,N/A,26.909090909090907,22.727272727272727,85.0,98.18181818181819,57.54545454545455,12.727272727272727,32.72727272727273,98.18181818181819,50.28090909090909,8.0,0.0,58.28090909090909,27,★★★,NEUTRAL,0,Försvar & Rymd
PRFO.ST,Profoto Holding AB (publ),9.22,0.015418502202643234,-0.029473656102230628,39049,368800000.0,-6.238,1.0597702,66.482,1.768,73000000.0,240000000.0,-4125000.0,116000000.0,8.7,0.46026,0.11184,-0.073,3.0,-0.5989630393133465,-0.010729552689893729,,7,0.72379,0,0,0,N/A,64.72727272727273,22.727272727272727,85.0,54.545454545454554,40.63636363636364,81.81818181818183,12.727272727272727,25.454545454545453,52.2409090909091,6.0,0.0,68.2409090909091,28,★★★,STARK UPPTREND,10,Mjukvara & SaaS
QLIRO.ST,Qliro AB (publ),19.5,-0.0076335877862594706,0.0,54369,666716992.0,,1.0526884,,,64900000.0,66700000.0,,90300000.0,18.524,0.0,0.00209,0.281,,-0.10591469612594828,0.06849315068493156,,5,0.39953998,0,0,0,N/A,45.81818181818181,50.90909090909091,55.0,73.81818181818181,15.40909090909091,85.45454545454545,52.72727272727272,70.9090909090909,54.63363636363636,3.0,0.0,57.63363636363636,29,★★★,NEUTRAL,0,Fintech & Finans
FREETR.ST,,32.2,0.0,-0.0016233518928268076,22072,306906752.0,9.765,5.3214345,81.072,1.104,42415156.0,46040172.0,,38186308.0,6.051,0.67663,0.31789,0.256,0.241,-0.21954317743356855,-0.16212535801764638,,6,0.29700002,0,0,0,N/A,39.99999999999999,50.90909090909091,70.0,88.0,24.954545454545453,34.54545454545455,38.18181818181819,58.18181818181818,50.770909090909086,6.0,0.0,56.770909090909086,30,★★★,NEUTRAL,0,Tjänster & Konsult
ORX.ST,Orexo AB (publ),19.92,0.0,0.059574515142826856,47346,699730944.0,-1.057,1.9185206,1.919,2.025,386200000.0,7000000.0,-150000.0,755500032.0,10.383,0.42134997,-15.14,-0.621,,0.40281692562394644,-0.29110320975547044,,5,0.18888001,0,0,0,N/A,34.90909090909091,22.727272727272727,55.0,21.454545454545453,71.90909090909092,76.36363636363637,74.54545454545455,65.45454545454545,48.73363636363637,8.0,0.0,56.73363636363637,31,★★★,NEUTRAL,0,MedTech & Life Science
